C_1_Force[kN];C_1_Deplacement[mm]
0.841907322;0.001497246
0.990369737;0.005728594
1.109346986;0.010025039
1.198972225;0.014191289
1.287985802;0.018552832
1.368943572;0.022865552
1.436873555;0.027031802
1.500204086;0.031279422
1.54263711;0.035494499
1.580683231;0.039628197
1.611843348;0.043615431
1.643109798;0.047814228
1.665815234;0.051817734
1.687377334;0.055886339
1.713406086;0.060052589
1.732362747;0.064104915
1.755014896;0.068303719
1.779289007;0.072518788
1.802738786;0.076815233
1.824141383;0.080932662
1.846421361;0.085196555
1.867584705;0.089493006
1.890236974;0.09364298
1.916637897;0.097906873
1.937083364;0.102073126
1.961942315;0.106271923
1.974597812;0.110242881
1.992118716;0.11447423
2.005678177;0.118363813
2.024688005;0.12256261
2.036492586;0.12654984
2.048775911;0.130667269
2.070258141;0.134931162
2.084774733;0.139113694
2.107533455;0.143426418
2.12593174;0.147592664
2.143984318;0.151970476
2.160335302;0.156299472
2.181206226;0.160498276
2.2053473;0.164827272
2.218561172;0.169026062
2.239325523;0.173192307
2.257591009;0.17737484
2.269741297;0.181655005
2.282051086;0.185593411
2.290878057;0.189515546
2.307388544;0.193649247
2.316534519;0.197636485
2.328897715;0.20183529
2.342988729;0.205968991
2.358462572;0.210249156
2.374122381;0.214334026
2.391138077;0.218614206
2.406186342;0.222878098
2.422962666;0.227076903
2.442690372;0.231422171
2.458562851;0.235604689
2.474993706;0.239754662
2.487330198;0.2437419
2.501368046;0.248054624
2.509317636;0.251895368
2.521627426;0.255980253
2.531065941;0.26008141
2.542206049;0.264231384
2.552601576;0.268332541
2.566293955;0.272547603
2.576795816;0.27681151
2.594157219;0.280945212
2.611518621;0.285257936
2.62709856;0.289570659
2.639089346;0.293720633
2.657939672;0.298000783
2.672110558;0.302199602
2.686494112;0.306235641
2.695427418;0.310304254
2.70768404;0.31455189
2.717095852;0.318506569
2.721270084;0.322575152
2.736052513;0.326725125
2.743523598;0.33072865
2.756444931;0.334943712
2.768542051;0.339175075
2.782500267;0.343471497
2.792390585;0.347556382
2.810655832;0.351852834
2.822726488;0.356133014
2.837562084;0.360315531
2.852902889;0.364595711
2.863750458;0.368827045
2.876459122;0.372977018
2.888529539;0.376947969
2.901530743;0.381195605
2.905864477;0.384971261
2.91280365;0.389121234
2.921550751;0.393320054
2.932584524;0.397437453
2.941065788;0.401522338
2.955901384;0.405753702
2.967945337;0.410066426
2.977676153;0.414232671
2.994053841;0.418480277
3.012186289;0.422809273
3.024469376;0.426975518
3.040288687;0.431206882
3.055443525;0.435356855
3.063073874;0.439425468
3.073017597;0.443445235
3.086311102;0.447757959
3.091495514;0.451761454
3.098355055;0.455878884
3.107182026;0.459947497
3.113749027;0.464032382
3.128105879;0.468263716
3.139804363;0.472495049
3.150226355;0.476824045
3.160648584;0.48090893
3.175431013;0.485254198
3.185321331;0.489501834
3.200156927;0.493716896
3.215923309;0.498078436
3.22655797;0.502293527
3.239665508;0.506410956
3.251629591;0.510414422
3.263540745;0.514645815
3.268805027;0.518470287
3.274467945;0.5225389
3.284065962;0.526640058
3.293451071;0.530822575
3.301427364;0.534972548
3.312859774;0.539138794
3.326206446;0.543418944
3.339951992;0.547568917
3.353910208;0.551865399
3.366193533;0.556178093
3.377971649;0.560328066
3.396316767;0.564591944
3.402671099;0.568774521
3.41841054;0.572826803
3.425642252;0.576879144
3.434176683;0.58112675
3.438510418;0.585000098
3.448374271;0.589068711
3.456350327;0.593234956
3.464831591;0.597303569
3.472861052;0.601518631
3.485808849;0.605733693
3.499634266;0.610062659
3.50606823;0.614131272
3.524626017;0.618411481
3.534808874;0.622675359
3.548607588;0.626857877
3.568308592;0.631121755
3.577959776;0.635304272
3.586547375;0.639307797
3.595188141;0.643262506
3.60494566;0.647607744
3.607046127;0.65130204
3.614570141;0.655403197
3.626321793;0.659699619
3.633234501;0.663865924
3.645597458;0.668048441
3.661948442;0.672328591
3.671360254;0.676641285
